Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Wednesday,9,S | Brand | EU | DE,EUR,274.21,19,3,15.79%,1.74,5.21,33.33%,1.00,5.21
Tuesday,9,S | Brand | EU | DE,EUR,3057.31,10,3,30.00%,10.19,30.57,0.00%,0.00,0.00
Monday,6,S | Brand | EU | DE,EUR,494.17,12,1,8.33%,5.93,5.93,0.00%,0.00,0.00
Monday,23,S | Brand | EU | DE,EUR,3625.71,7,2,28.57%,12.69,25.38,0.00%,0.00,0.00
Wednesday,12,PMax | Rem | NL | New,EUR,8.55,"1,945",107,5.50%,0.16,16.63,0.00%,0.00,0.00
Monday,0,PMax | Rem | NL | New,EUR,7.36,533,31,5.82%,0.13,3.92,0.00%,0.00,0.00
Monday,13,PMax | Rem | NL | New,EUR,12.57,"1,843",107,5.81%,0.22,23.17,0.93%,1.00,23.17
Sunday,11,PMax | Rem | NL | New,EUR,18.41,"2,152",117,5.44%,0.34,39.61,0.85%,1.00,39.61
Saturday,9,S | General | EU | EN,EUR,48.56,85,5,5.88%,0.83,4.13,0.00%,0.00,0.00
Saturday,10,S | General | EU | EN,EUR,14.70,120,4,3.33%,0.44,1.76,25.00%,1.00,1.76
Friday,3,S | General | EU | EN,EUR,57.87,11,2,18.18%,0.32,0.64,0.00%,0.00,0.00
Wednesday,11,S | General | EU | EN,EUR,44.88,79,7,8.86%,0.51,3.55,0.00%,0.00,0.00
Tuesday,18,S | General | EU | EN,EUR,35.91,68,6,8.82%,0.41,2.44,0.00%,0.00,0.00
Monday,0,S | General | EU | EN,EUR,39.76,36,3,8.33%,0.48,1.43,0.00%,0.00,0.00
Sunday,2,S | General | EU | EN,EUR,12.13,12,1,8.33%,0.15,0.15,0.00%,0.00,0.00
Friday,9,Rem | EU | DE,EUR,5.82,28,1,3.57%,0.16,0.16,0.00%,0.00,0.00
Thursday,16,Rem | EU | DE,EUR,372.21,14,2,14.29%,2.61,5.21,0.00%,0.00,0.00
Saturday,0,PMax | Rem | FR,EUR,5.91,218,10,4.59%,0.13,1.29,0.00%,0.00,0.00
Saturday,1,PMax | Rem | FR,EUR,20.41,132,17,12.88%,0.16,2.69,0.00%,0.00,0.00
Tuesday,17,PMax | Rem | FR,EUR,2.12,303,21,6.93%,0.03,0.64,0.00%,0.00,0.00
Sunday,12,PMax | Rem | FR,EUR,6.94,301,19,6.31%,0.11,2.09,0.00%,0.00,0.00
Sunday,17,PMax | Rem | FR,EUR,14.51,312,19,6.09%,0.24,4.53,0.00%,0.00,0.00
Thursday,20,S | General | NL,EUR,52.72,200,10,5.00%,1.05,10.54,10.00%,1.00,10.54
Wednesday,16,S | General | NL,EUR,67.27,183,12,6.56%,1.03,12.31,0.00%,0.00,0.00
Tuesday,5,S | General | NL,EUR,80.85,26,3,11.54%,0.70,2.10,0.00%,0.00,0.00
Monday,22,S | General | NL,EUR,117.61,259,22,8.49%,1.38,30.46,9.09%,2.00,15.23
Sunday,22,S | General | NL,EUR,69.92,278,25,8.99%,0.78,19.44,8.00%,2.00,9.72
Saturday,6,S | General | EU | DE,EUR,77.74,31,2,6.45%,1.21,2.41,0.00%,0.00,0.00
Friday,21,S | General | EU | DE,EUR,32.06,41,2,4.88%,0.66,1.31,0.00%,0.00,0.00
Thursday,12,S | General | EU | DE,EUR,75.76,92,5,5.43%,1.39,6.97,0.00%,0.00,0.00
Thursday,16,S | General | EU | DE,EUR,22.50,32,2,6.25%,0.36,0.72,0.00%,0.00,0.00
Monday,23,S | General | EU | DE,EUR,63.33,24,2,8.33%,0.76,1.52,0.00%,0.00,0.00
Sunday,2,S | General | EU | DE,EUR,78.21,7,1,14.29%,0.55,0.55,0.00%,0.00,0.00
Sunday,9,S | Brand | UK,EUR,105.00,4,1,25.00%,0.42,0.42,0.00%,0.00,0.00
Friday,13,S | Brand | EU | EN,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Friday,13,PMax | Rem | EU | EN,EUR,33.57,733,84,11.46%,0.29,24.61,2.38%,2.00,12.30
Sunday,13,S | General | EU | FR,EUR,172.00,20,4,20.00%,0.86,3.44,0.00%,0.00,0.00
Saturday,9,S | General | UK,EUR,61.25,64,4,6.25%,0.98,3.92,0.00%,0.00,0.00
Thursday,18,S | General | UK,EUR,51.75,57,5,8.77%,0.59,2.95,0.00%,0.00,0.00
Saturday,9,S | Brand | NL,EUR,11.82,22,7,31.82%,0.04,0.26,14.29%,1.00,0.26
Saturday,14,S | Brand | NL,EUR,55.12,15,7,46.67%,0.12,0.83,28.57%,2.00,0.41
Thursday,19,S | Brand | NL,EUR,303.16,21,10,47.62%,0.64,6.37,30.00%,3.00,2.12
Wednesday,21,S | Brand | NL,EUR,26.11,18,9,50.00%,0.05,0.47,5.56%,0.50,0.94
Monday,12,S | Brand | NL,EUR,114.44,9,5,55.56%,0.21,1.03,0.00%,0.00,0.00
Sunday,20,S | Brand | NL,EUR,34.21,42,12,28.57%,0.12,1.44,33.33%,4.00,0.36
Friday,14,PMax | Rem | DE,EUR,7.12,403,9,2.23%,0.32,2.87,0.00%,0.00,0.00
Thursday,21,PMax | Rem | DE,EUR,9.28,527,15,2.85%,0.33,4.89,0.00%,0.00,0.00
Wednesday,22,PMax | Rem | DE,EUR,11.82,901,45,4.99%,0.24,10.65,0.00%,0.00,0.00
Tuesday,17,PMax | Rem | DE,EUR,4.35,"1,496",43,2.87%,0.15,6.50,0.00%,0.00,0.00
Monday,9,PMax | Rem | DE,EUR,14.70,353,14,3.97%,0.37,5.19,0.00%,0.00,0.00
Monday,22,PMax | Rem | DE,EUR,15.56,305,9,2.95%,0.53,4.74,0.00%,0.00,0.00
Friday,4,PMax | Rem | UK,EUR,0.82,235,2,0.85%,0.10,0.19,0.00%,0.00,0.00
Friday,8,PMax | Rem | UK,EUR,46.56,210,11,5.24%,0.89,9.78,0.00%,0.00,0.00
Friday,12,PMax | Rem | UK,EUR,37.03,233,14,6.01%,0.62,8.63,0.00%,0.00,0.00
Thursday,20,PMax | Rem | UK,EUR,3.26,979,8,0.82%,0.40,3.19,0.00%,0.00,0.00
Tuesday,14,PMax | Rem | UK,EUR,0.92,"5,098",93,1.82%,0.05,4.69,0.00%,0.00,0.00
Wednesday,0,PMAX | shopping | EU | EN,EUR,0.20,"28,111",90,0.32%,0.06,5.59,0.00%,0.00,0.00
Monday,15,PMAX | shopping | EU | EN,EUR,0.25,"25,471",112,0.44%,0.06,6.25,0.00%,0.00,0.00
Saturday,15,S | Brand | EU | DE,EUR,0.00,17,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,4,S | Brand | EU | DE,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,19,S | Brand | EU | DE,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,17,S | Brand | EU | DE,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,6,S | Brand | EU | DE,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,13,Rem | EU | DE,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,9,Rem | NL,EUR,0.00,109,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,18,Rem | NL,EUR,0.00,57,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,2,S | Brand | UK,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,23,S | Brand | EU | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,5,PMAX | shopping | EU | EN,EUR,0.00,34,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,1,S | General | NL,EUR,80.17,58,3,5.17%,1.55,4.65,0.00%,0.00,0.00
Saturday,13,S | General | NL,EUR,121.19,210,19,9.05%,1.34,25.45,16.76%,3.19,7.99
Friday,2,S | General | NL,EUR,63.00,10,1,10.00%,0.63,0.63,0.00%,0.00,0.00
Tuesday,9,S | General | NL,EUR,57.59,198,13,6.57%,0.88,11.40,0.00%,0.00,0.00
Thursday,10,S | General | EU | DE,EUR,134.52,115,6,5.22%,2.58,15.47,0.00%,0.00,0.00
Wednesday,21,S | General | EU | DE,EUR,38.16,35,2,5.71%,0.67,1.34,0.00%,0.00,0.00
Thursday,9,PMax | Rem | EU | EN,EUR,11.43,726,67,9.23%,0.12,8.30,0.00%,0.00,0.00
Thursday,15,PMax | Rem | EU | EN,EUR,10.91,808,52,6.44%,0.17,8.82,0.00%,0.00,0.00
Tuesday,21,PMax | Rem | EU | EN,EUR,9.96,"1,793",113,6.30%,0.16,17.86,0.00%,0.00,0.00
Monday,18,PMax | Rem | EU | EN,EUR,13.50,"1,286",86,6.69%,0.20,17.36,0.00%,0.00,0.00
Sunday,7,PMax | Rem | EU | EN,EUR,9.49,950,49,5.16%,0.18,9.02,2.04%,1.00,9.02
Friday,15,S | General | EU | FR,EUR,100.00,14,2,14.29%,0.70,1.40,0.00%,0.00,0.00
Thursday,17,S | General | EU | FR,EUR,84.29,28,3,10.71%,0.79,2.36,0.00%,0.00,0.00
Wednesday,11,S | General | EU | FR,EUR,120.00,10,2,20.00%,0.60,1.20,0.00%,0.00,0.00
Saturday,18,S | General | UK,EUR,37.87,75,3,4.00%,0.95,2.84,0.00%,0.00,0.00
Saturday,22,S | General | UK,EUR,44.63,80,5,6.25%,0.71,3.57,0.00%,0.00,0.00
Thursday,7,S | General | UK,EUR,150.26,32,6,18.75%,0.80,4.81,0.00%,0.00,0.00
Thursday,10,S | General | UK,EUR,93.71,74,9,12.16%,0.77,6.93,0.00%,0.00,0.00
Thursday,15,S | General | UK,EUR,149.70,67,10,14.93%,1.00,10.03,0.00%,0.00,0.00
Thursday,23,S | General | UK,EUR,97.37,67,10,14.93%,0.65,6.52,10.00%,1.00,6.52
Sunday,0,S | General | UK,EUR,23.95,59,3,5.08%,0.47,1.41,0.00%,0.00,0.00
Sunday,9,S | General | UK,EUR,79.32,59,4,6.78%,1.17,4.68,0.00%,0.00,0.00
Sunday,14,S | General | UK,EUR,38.48,86,7,8.14%,0.47,3.31,0.00%,0.00,0.00
Friday,16,S | Brand | EU | DE,EUR,1771.00,10,3,30.00%,5.90,17.71,33.33%,1.00,17.71
Saturday,17,PMax | Rem | NL | New,EUR,12.59,"1,708",76,4.45%,0.28,21.50,1.32%,1.00,21.50
Wednesday,7,PMax | Rem | NL | New,EUR,13.14,"1,557",96,6.17%,0.21,20.46,0.00%,0.00,0.00
Wednesday,22,PMax | Rem | NL | New,EUR,10.03,"3,203",152,4.75%,0.21,32.14,2.63%,4.00,8.03
Tuesday,0,PMax | Rem | NL | New,EUR,13.12,632,34,5.38%,0.24,8.29,0.00%,0.00,0.00
Tuesday,6,PMax | Rem | NL | New,EUR,15.55,660,33,5.00%,0.31,10.26,0.00%,0.00,0.00
Tuesday,13,PMax | Rem | NL | New,EUR,6.51,"3,123",160,5.12%,0.13,20.34,0.00%,0.00,0.00
Sunday,4,PMax | Rem | NL | New,EUR,18.81,200,12,6.00%,0.31,3.76,0.00%,0.00,0.00
Sunday,9,PMax | Rem | NL | New,EUR,16.79,"1,913",125,6.53%,0.26,32.11,0.80%,1.00,32.11
Sunday,21,PMax | Rem | NL | New,EUR,11.90,"2,418",101,4.18%,0.28,28.77,1.49%,1.50,19.18
Sunday,23,PMax | Rem | NL | New,EUR,11.97,"1,196",60,5.02%,0.24,14.32,0.00%,0.00,0.00
Saturday,12,S | General | EU | EN,EUR,56.19,118,7,5.93%,0.95,6.63,0.00%,0.00,0.00
Friday,12,S | General | EU | EN,EUR,76.52,94,10,10.64%,0.72,7.19,0.00%,0.00,0.00
Friday,16,S | General | EU | EN,EUR,26.10,75,4,5.33%,0.49,1.96,0.00%,0.00,0.00
Wednesday,13,S | General | EU | EN,EUR,64.14,88,10,11.36%,0.56,5.64,0.00%,0.00,0.00
Wednesday,16,S | General | EU | EN,EUR,59.13,70,8,11.43%,0.52,4.14,0.00%,0.00,0.00
Wednesday,21,S | General | EU | EN,EUR,20.16,85,3,3.53%,0.57,1.71,0.00%,0.00,0.00
Tuesday,7,S | General | EU | EN,EUR,24.41,51,2,3.92%,0.62,1.25,0.00%,0.00,0.00
Sunday,6,S | General | EU | EN,EUR,15.00,26,1,3.85%,0.39,0.39,0.00%,0.00,0.00
Sunday,9,S | General | EU | EN,EUR,50.26,101,12,11.88%,0.42,5.08,8.33%,1.00,5.08
Monday,11,Rem | EU | EN,EUR,5.37,142,1,0.70%,0.76,0.76,0.00%,0.00,0.00
Sunday,11,Rem | EU | EN,EUR,21.07,125,4,3.20%,0.66,2.63,0.00%,0.00,0.00
Saturday,16,Rem | NL,EUR,19.08,214,4,1.87%,1.02,4.08,0.00%,0.00,0.00
Monday,14,Rem | NL,EUR,1.92,103,2,1.94%,0.10,0.20,0.00%,0.00,0.00
Saturday,18,PMax | Rem | FR,EUR,2.65,269,9,3.35%,0.08,0.71,0.00%,0.00,0.00
Friday,3,PMax | Rem | FR,EUR,9.53,95,12,12.63%,0.08,0.91,0.00%,0.00,0.00
Friday,18,PMax | Rem | FR,EUR,1.43,"4,518",83,1.84%,0.08,6.47,0.00%,0.00,0.00
Thursday,9,PMax | Rem | FR,EUR,3.07,186,7,3.76%,0.08,0.57,0.00%,0.00,0.00
Wednesday,17,PMax | Rem | FR,EUR,10.83,63,5,7.94%,0.14,0.68,0.00%,0.00,0.00
Tuesday,5,PMax | Rem | FR,EUR,29.18,44,4,9.09%,0.32,1.28,0.00%,0.00,0.00
Tuesday,21,PMax | Rem | FR,EUR,8.77,358,18,5.03%,0.17,3.14,0.00%,0.00,0.00
Monday,11,PMax | Rem | FR,EUR,11.14,126,11,8.73%,0.13,1.40,0.00%,0.00,0.00
Monday,16,PMax | Rem | FR,EUR,10.06,249,29,11.65%,0.09,2.51,0.00%,0.00,0.00
Saturday,10,S | Brand | NL,EUR,16.80,25,9,36.00%,0.05,0.42,22.22%,2.00,0.21
Saturday,23,S | Brand | NL,EUR,86.25,8,3,37.50%,0.23,0.69,0.00%,0.00,0.00
Tuesday,12,S | Brand | NL,EUR,23.70,26,9,34.62%,0.07,0.62,11.11%,1.00,0.62
Monday,15,PMax | Rem | DE,EUR,14.23,285,8,2.81%,0.51,4.06,0.00%,0.00,0.00
Sunday,7,PMax | Rem | DE,EUR,10.67,196,5,2.55%,0.42,2.09,0.00%,0.00,0.00
Saturday,11,PMax | Rem | UK,EUR,12.56,336,12,3.57%,0.35,4.22,0.00%,0.00,0.00
Thursday,21,PMax | Rem | UK,EUR,0.21,"4,819",21,0.44%,0.05,1.02,0.00%,0.00,0.00
Wednesday,6,PMax | Rem | UK,EUR,0.11,41,1,2.44%,0.00,0.00,0.00%,0.00,0.00
Wednesday,21,PMax | Rem | UK,EUR,3.61,267,7,2.62%,0.14,0.97,0.00%,0.00,0.00
Wednesday,22,PMax | Rem | UK,EUR,15.10,275,11,4.00%,0.38,4.15,0.00%,0.00,0.00
Monday,22,PMax | Rem | UK,EUR,0.21,"5,404",56,1.04%,0.02,1.11,0.00%,0.00,0.00
Sunday,0,PMax | Rem | UK,EUR,3.14,"3,163",23,0.73%,0.43,9.92,0.00%,0.00,0.00
Sunday,9,PMax | Rem | UK,EUR,17.69,453,8,1.77%,1.00,8.01,0.00%,0.00,0.00
Saturday,6,PMAX | shopping | EU | EN,EUR,0.10,"3,529",6,0.17%,0.06,0.35,0.00%,0.00,0.00
Friday,7,PMAX | shopping | EU | EN,EUR,0.14,"8,078",18,0.22%,0.06,1.15,0.00%,0.00,0.00
Friday,18,PMAX | shopping | EU | EN,EUR,11.49,87,1,1.15%,1.00,1.00,0.00%,0.00,0.00
Friday,22,PMAX | shopping | EU | EN,EUR,1.02,291,1,0.34%,0.30,0.30,0.00%,0.00,0.00
Thursday,11,PMAX | shopping | EU | EN,EUR,0.23,"1,644",3,0.18%,0.13,0.38,0.00%,0.00,0.00
Wednesday,14,PMAX | shopping | EU | EN,EUR,0.25,"5,067",16,0.32%,0.08,1.24,0.00%,0.00,0.00
Monday,7,PMAX | shopping | EU | EN,EUR,0.99,69,1,1.45%,0.07,0.07,0.00%,0.00,0.00
Monday,20,PMAX | shopping | EU | EN,EUR,0.32,"4,843",48,0.99%,0.03,1.54,0.00%,0.00,0.00
Sunday,12,PMAX | shopping | EU | EN,EUR,1.72,"22,464",149,0.66%,0.26,38.62,0.67%,1.00,38.62
Friday,19,S | General | EU | DE,EUR,0.00,26,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,1,S | General | EU | DE,EUR,0.00,9,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,14,S | Brand | EU | EN,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,17,S | General | EU | FR,EUR,0.00,28,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,4,S | General | EU | FR,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,11,S | General | EU | FR,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,21,S | Brand | EU | FR,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,5,S | General | UK,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,20,S | Brand | EU | DE,EUR,0.00,20,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,2,S | Brand | EU | DE,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,15,S | Brand | EU | DE,EUR,0.00,14,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,14,S | Brand | EU | DE,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,4,S | General | EU | EN,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,0,Rem | EU | EN,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,8,Rem | EU | DE,EUR,0.00,36,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,5,Rem | NL,EUR,0.00,34,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,13,Rem | NL,EUR,0.00,63,0,0.00%,0,0.00,0.00%,2.00,0.00
Sunday,12,Rem | NL,EUR,0.00,86,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,4,S | Brand | NL,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,5,Rem | EU | FR,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,9,Rem | EU | FR,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,2,S | General | UK,EUR,97.65,17,2,11.76%,0.83,1.66,0.00%,0.00,0.00
Friday,19,S | General | UK,EUR,66.85,62,6,9.68%,0.69,4.14,0.00%,0.00,0.00
Friday,22,S | General | UK,EUR,54.64,75,6,8.00%,0.68,4.10,0.00%,0.00,0.00
Wednesday,1,S | General | UK,EUR,82.00,20,2,10.00%,0.82,1.64,50.00%,1.00,1.64
Monday,0,S | General | UK,EUR,65.49,60,7,11.67%,0.56,3.93,0.00%,0.00,0.00
Friday,15,S | Brand | EU | DE,EUR,1.43,14,2,14.29%,0.01,0.02,0.00%,0.00,0.00
Tuesday,12,S | Brand | EU | DE,EUR,0.83,12,1,8.33%,0.01,0.01,0.00%,0.00,0.00
Sunday,8,S | Brand | EU | DE,EUR,531.40,12,2,16.67%,3.19,6.38,0.00%,0.00,0.00
Wednesday,0,PMax | Rem | NL | New,EUR,10.05,726,48,6.61%,0.15,7.30,0.00%,0.00,0.00
Tuesday,19,PMax | Rem | NL | New,EUR,7.98,"3,316",140,4.22%,0.19,26.45,0.71%,1.00,26.45
Friday,8,S | General | EU | EN,EUR,63.63,83,9,10.84%,0.59,5.28,0.00%,0.00,0.00
Thursday,5,S | General | EU | EN,EUR,20.53,19,1,5.26%,0.39,0.39,0.00%,0.00,0.00
Monday,22,S | General | EU | EN,EUR,10.63,89,3,3.37%,0.32,0.95,0.00%,0.00,0.00
Sunday,1,S | General | EU | EN,EUR,53.85,13,2,15.38%,0.35,0.70,0.00%,0.00,0.00
Sunday,11,S | General | EU | EN,EUR,42.49,111,5,4.50%,0.94,4.72,0.00%,0.00,0.00
Sunday,17,S | General | EU | EN,EUR,52.39,127,9,7.09%,0.74,6.65,0.00%,0.00,0.00
Sunday,20,S | General | EU | EN,EUR,12.09,105,2,1.90%,0.63,1.27,0.00%,0.00,0.00
Friday,18,Rem | EU | DE,EUR,22.06,102,4,3.92%,0.56,2.25,0.00%,0.00,0.00
Wednesday,21,Rem | NL,EUR,7.00,128,1,0.78%,0.90,0.90,0.00%,0.00,0.00
Friday,5,PMax | Rem | FR,EUR,25.29,86,14,16.28%,0.16,2.17,0.00%,0.00,0.00
Thursday,1,PMax | Rem | FR,EUR,2.23,56,6,10.71%,0.02,0.13,0.00%,0.00,0.00
Thursday,19,PMax | Rem | FR,EUR,9.59,194,21,10.82%,0.09,1.86,0.00%,0.00,0.00
Wednesday,11,PMax | Rem | FR,EUR,57.37,104,8,7.69%,0.75,5.97,0.00%,0.00,0.00
Tuesday,16,PMax | Rem | FR,EUR,14.77,314,20,6.37%,0.23,4.64,0.00%,0.00,0.00
Sunday,15,PMax | Rem | FR,EUR,10.71,266,16,6.02%,0.18,2.85,0.00%,0.00,0.00
Thursday,8,S | General | NL,EUR,57.28,139,8,5.76%,1.00,7.96,0.00%,0.00,0.00
Wednesday,23,S | General | NL,EUR,141.88,101,16,15.84%,0.90,14.33,6.25%,1.00,14.33
Thursday,3,S | General | EU | DE,EUR,600.00,3,1,33.33%,1.80,1.80,0.00%,0.00,0.00
Monday,8,S | General | EU | DE,EUR,145.25,70,6,8.57%,1.69,10.17,0.00%,0.00,0.00
Monday,13,S | General | EU | DE,EUR,38.46,39,2,5.13%,0.75,1.50,0.00%,0.00,0.00
Tuesday,19,PMax | Rem | EU | EN,EUR,5.77,"1,213",76,6.27%,0.09,7.00,0.00%,0.00,0.00
Monday,7,PMax | Rem | EU | EN,EUR,5.35,924,89,9.63%,0.06,4.95,0.00%,0.00,0.00
Monday,20,PMax | Rem | EU | EN,EUR,8.36,"1,365",90,6.59%,0.13,11.41,1.11%,1.00,11.41
Sunday,21,PMax | Rem | EU | EN,EUR,10.47,"1,812",94,5.19%,0.20,18.97,0.00%,0.00,0.00
Saturday,11,S | General | EU | FR,EUR,40.67,30,1,3.33%,1.22,1.22,0.00%,0.00,0.00
Monday,8,S | General | EU | FR,EUR,241.12,16,4,25.00%,0.96,3.86,0.00%,0.00,0.00
Monday,12,S | General | EU | FR,EUR,37.66,16,1,6.25%,0.60,0.60,0.00%,0.00,0.00
Saturday,0,S | Brand | NL,EUR,300.00,4,2,50.00%,0.60,1.20,100.00%,2.00,0.60
Friday,21,S | Brand | NL,EUR,437.92,24,12,50.00%,0.88,10.51,8.33%,1.00,10.51
Friday,23,S | Brand | NL,EUR,445.00,8,3,37.50%,1.19,3.56,33.33%,1.00,3.56
Thursday,20,S | Brand | NL,EUR,113.34,34,13,38.24%,0.30,3.85,7.69%,1.00,3.85
Monday,0,S | Brand | NL,EUR,84.00,5,3,60.00%,0.14,0.42,33.33%,1.00,0.42
Monday,15,S | Brand | NL,EUR,43.33,27,11,40.74%,0.11,1.17,0.00%,0.00,0.00
Sunday,18,S | Brand | NL,EUR,37.47,24,11,45.83%,0.08,0.90,18.18%,2.00,0.45
Saturday,8,PMax | Rem | DE,EUR,13.00,372,16,4.30%,0.30,4.84,0.00%,0.00,0.00
Saturday,12,PMax | Rem | DE,EUR,9.87,397,10,2.52%,0.39,3.92,0.00%,0.00,0.00
Saturday,18,PMax | Rem | DE,EUR,14.91,480,12,2.50%,0.60,7.16,0.00%,0.00,0.00
Monday,3,PMax | Rem | DE,EUR,7.09,50,1,2.00%,0.35,0.35,0.00%,0.00,0.00
Saturday,12,PMax | Rem | UK,EUR,33.44,267,15,5.62%,0.60,8.93,0.00%,0.00,0.00
Friday,0,PMax | Rem | UK,EUR,0.48,"2,478",17,0.69%,0.07,1.18,0.00%,0.00,0.00
Friday,6,PMax | Rem | UK,EUR,1.60,122,3,2.46%,0.07,0.20,0.00%,0.00,0.00
Tuesday,3,PMax | Rem | UK,EUR,0.69,627,50,7.97%,0.01,0.43,0.00%,0.00,0.00
Sunday,4,Rem | EU | FR,EUR,59.47,57,1,1.75%,3.39,3.39,0.00%,0.00,0.00
Sunday,9,Rem | EU | FR,EUR,55.76,131,13,9.92%,0.56,7.30,0.00%,0.00,0.00
Wednesday,20,PMAX | shopping | EU | EN,EUR,2.00,55,2,3.64%,0.05,0.11,0.00%,0.00,0.00
Tuesday,0,PMAX | shopping | EU | EN,EUR,0.24,"2,416",14,0.58%,0.04,0.58,0.00%,0.00,0.00
Wednesday,7,S | General | UK,EUR,0.00,30,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,1,S | Brand | EU | DE,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,0,Rem | EU | EN,EUR,0.00,32,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,2,Rem | EU | DE,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,5,S | General | EU | DE,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,4,S | General | EU | FR,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,14,S | General | EU | FR,EUR,0.00,16,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,6,S | Brand | EU | FR,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,5,S | Brand | NL,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,11,Rem | EU | FR,EUR,0.00,98,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,19,PMAX | shopping | EU | EN,EUR,0.00,100,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,13,S | General | NL,EUR,58.64,157,9,5.73%,1.02,9.21,0.00%,0.00,0.00
Thursday,16,S | General | NL,EUR,123.33,130,16,12.31%,1.00,16.03,0.00%,0.00,0.00
Thursday,17,S | General | NL,EUR,26.59,138,5,3.62%,0.73,3.67,0.00%,0.00,0.00
Monday,5,S | General | NL,EUR,142.35,18,3,16.67%,0.85,2.56,0.00%,0.00,0.00
Thursday,15,S | General | EU | DE,EUR,150.91,33,4,12.12%,1.25,4.98,0.00%,0.00,0.00
Wednesday,0,S | General | EU | DE,EUR,21.93,9,1,11.11%,0.20,0.20,0.00%,0.00,0.00
Monday,11,S | General | EU | DE,EUR,40.75,40,2,5.00%,0.82,1.63,0.00%,0.00,0.00
Saturday,19,S | Brand | UK,EUR,70.00,1,1,100.00%,0.07,0.07,0.00%,0.00,0.00
Saturday,7,PMax | Rem | EU | EN,EUR,16.81,636,53,8.33%,0.20,10.69,0.00%,0.00,0.00
Saturday,9,PMax | Rem | EU | EN,EUR,15.60,"1,145",91,7.95%,0.20,17.87,0.00%,0.00,0.00
Monday,10,PMax | Rem | EU | EN,EUR,1.91,"3,097",43,1.39%,0.14,5.91,2.33%,1.00,5.91
Sunday,13,PMax | Rem | EU | EN,EUR,18.49,865,58,6.71%,0.28,16.00,0.00%,0.00,0.00
Saturday,10,S | General | EU | FR,EUR,78.51,33,3,9.09%,0.86,2.59,0.00%,0.00,0.00
Saturday,18,S | General | EU | FR,EUR,78.79,66,4,6.06%,1.30,5.20,0.00%,0.00,0.00
Tuesday,18,S | General | EU | FR,EUR,43.16,19,1,5.26%,0.82,0.82,0.00%,0.00,0.00
