Location report
1 October 2025 - 31 December 2025
Location,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Denmark,S | Brand | EU | FR, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Hungary,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,S | Brand | EU | FR, --,EUR,27.06,17,5,29.41%,0.09,0.46,0.00%,0.00,0.00
Finland,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,S | Brand | EU | FR, --,EUR,50.00,1,1,100.00%,0.05,0.05,0.00%,0.00,0.00
Moldova,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,S | Brand | EU | FR, --,EUR,10.00,1,1,100.00%,0.01,0.01,0.00%,0.00,0.00
Poland,S | General | EU | FR, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
North Macedonia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,S | General | EU | FR, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Lithuania,S | General | EU | FR, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Slovakia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,S | General | EU | FR, --,EUR,93.75,8,2,25.00%,0.38,0.75,0.00%,0.00,0.00
Slovenia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,S | General | EU | FR, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Norway,S | General | EU | FR, --,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Italy,S | General | EU | FR, --,EUR,37.14,14,2,14.29%,0.26,0.52,0.00%,0.00,0.00
Bosnia and Herzegovina,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,S | General | EU | FR, --,EUR,126.59,26,4,15.38%,0.82,3.29,0.00%,0.00,0.00
Finland,S | General | EU | FR, --,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Romania,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,S | General | EU | FR, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Kosovo,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,S | General | EU | FR, --,EUR,80.35,"3,135",276,8.80%,0.91,251.90,0.36%,1.00,251.90
Hungary,S | General | EU | FR, --,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Denmark,S | General | EU | FR, --,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Netherlands,PMax | General | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Switzerland,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Austria,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Belgium,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Germany,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,PMAX | shopping | EU | EN, --,EUR,0.19,"373,533","1,601",0.43%,0.04,70.96,0.00%,0.00,0.00
Switzerland,PMAX | shopping | EU | EN, --,EUR,6.16,"1,421",13,0.91%,0.67,8.76,0.00%,0.00,0.00
Slovakia,PMAX | shopping | EU | EN, --,EUR,0.74,"5,456",29,0.53%,0.14,4.02,0.00%,0.00,0.00
Finland,PMAX | shopping | EU | EN, --,EUR,0.52,"9,287",51,0.55%,0.09,4.84,0.00%,0.00,0.00
Hungary,PMAX | shopping | EU | EN, --,EUR,0.26,"17,902",91,0.51%,0.05,4.60,0.00%,0.00,0.00
Denmark,PMAX | shopping | EU | EN, --,EUR,0.73,"8,589",47,0.55%,0.13,6.30,0.00%,0.00,0.00
Germany,PMAX | shopping | EU | EN, --,EUR,2.07,"4,632",33,0.71%,0.29,9.59,0.00%,0.00,0.00
France,PMAX | shopping | EU | EN, --,EUR,0.57,"103,136",469,0.45%,0.13,59.10,0.21%,1.00,59.10
Italy,PMAX | shopping | EU | EN, --,EUR,0.22,"213,167",881,0.41%,0.05,46.50,0.00%,0.00,0.00
Belgium,PMAX | shopping | EU | EN, --,EUR,0.50,"20,590",78,0.38%,0.13,10.19,2.56%,2.00,5.10
Sweden,PMAX | shopping | EU | EN, --,EUR,0.48,"34,738",174,0.50%,0.09,16.52,0.00%,0.00,0.00
Norway,PMAX | shopping | EU | EN, --,EUR,0.30,"34,501",134,0.39%,0.08,10.42,0.00%,0.00,0.00
Czechia,PMAX | shopping | EU | EN, --,EUR,0.52,"3,628",26,0.72%,0.07,1.88,0.00%,0.00,0.00
Poland,PMAX | shopping | EU | EN, --,EUR,0.33,"13,442",75,0.56%,0.06,4.44,0.00%,0.00,0.00
Romania,PMAX | shopping | EU | EN, --,EUR,0.30,"101,570",462,0.45%,0.07,30.06,0.00%,0.00,0.00
Netherlands,S | General | NL, --,EUR,81.58,"20,767","1,412",6.80%,1.20,1694.21,4.15%,58.62,28.90
Belgium,S | General | NL, --,EUR,100.58,"5,070",403,7.95%,1.27,509.93,5.46%,22.00,23.18
Netherlands,ADa_Panty_NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
United Kingdom,S | General | UK, --,EUR,79.45,"9,370",903,9.64%,0.82,744.43,2.44%,22.00,33.84
Total: Locations,,,EUR,6.58,"1,868,675","42,640",2.28%,0.29,12293.56,1.17%,500.00,24.59
Total: Other locations,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Account,,,EUR,6.58,"1,868,675","42,640",2.28%,0.29,12293.56,1.17%,500.00,24.59
Total: Display,,,EUR,13.78,"23,083",394,1.71%,0.81,318.10,0.51%,2.00,159.05
Total: Search,,,EUR,85.51,"61,479","5,485",8.92%,0.96,5257.05,5.93%,325.32,16.16
Total: Performance Max,,,EUR,3.77,"1,784,113","36,761",2.06%,0.18,6718.40,0.47%,172.68,38.91
Total: Demand Gen,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Smart,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Shopping,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
